,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
30,MAX_POOL_2D,242,1200.0,0.0,0.0,0.0,0.0,0.023529412,-128,EfficientNetV2/max_pooling2d_2/MaxPool,6.00000006,0.0
31,MEAN,246,48.0,0.0023844817,0.0018869448,0.005901043,9.392755e-06,0.008369808,-128,EfficientNetV2/stage3.mbconv1.se.pool/Mean,2.13430104,0.3661685174112407
32,CONV_2D,250,12.0,0.0027133217,0.00033483192,0.007120822,8.628036e-06,0.0108934725,-128,EfficientNetV2/stage3.mbconv1.se.sq.act/Relu6;EfficientNetV2/stage3.mbconv1.se.sq.conv/BiasAdd;EfficientNetV2/stage3.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage3.mbconv1.se.sq.conv/BiasAdd/ReadVariableOp,2.7778354875,0.2696432995636114
33,CONV_2D,254,48.0,0.0013711819,-5.619315e-05,0.0028696246,1.9297843e-06,0.004428771,-99,EfficientNetV2/stage3.mbconv1.se.ex.act/Add;EfficientNetV2/stage3.mbconv1.se.ex.act/Mul;EfficientNetV2/stage3.mbconv1.se.ex.conv/BiasAdd/ReadVariableOp;EfficientNetV2/stage3.mbconv1.se.ex.conv/BiasAdd;EfficientNetV2/stage1.mbconv1.se.ex.act/Const;EfficientNetV2/stage1.mbconv1.se.ex.act/Const_1;EfficientNetV2/stage3.mbconv1.se.ex.conv/Conv2D,1.129336605,0.3136686824961298
34,MINIMUM,258,48.0,6.442715e-09,9.397666e-10,4.5108795e-08,8.4783477e-13,0.004428771,-99,EfficientNetV2/stage3.mbconv1.se.ex.act/clip_by_value/Minimum,1.129336605,0.00020790856789164867
35,RELU,262,48.0,0.0011169518,2.9709476e-05,0.0019255939,1.2806779e-06,0.0039168606,-128,EfficientNetV2/stage3.mbconv1.se.ex.act/clip_by_value,0.998799453,0.28892281807185255
36,MUL,266,1200.0,0.0036991893,6.813916e-05,0.0075733284,1.3708435e-05,0.015072651,-128,EfficientNetV2/multiply_3/mul,3.8435260049999997,0.24564294483501192
37,CONV_2D,270,1600.0,0.015793655,-0.00063116464,0.0443538,0.0002501001,0.051248044,-8,EfficientNetV2/stage3.mbconv1.red.bn/FusedBatchNormV3;EfficientNetV2/stage4.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage3.mbconv1.red.conv/Conv2D,13.06825122,0.30858842971611966
38,DEPTHWISE_CONV_2D,274,1600.0,0.005134397,9.948376e-05,0.019569034,2.6417785e-05,0.023529412,-128,EfficientNetV2/stage3.mbconv2.dp.act/Relu6;EfficientNetV2/stage3.mbconv2.dp.bn/FusedBatchNormV3;EfficientNetV2/stage4.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage3.mbconv2.dp/depthwise,6.00000006,0.21844249403883745
39,MEAN,278,64.0,0.0028759858,-0.00020772066,0.0050932956,8.471381e-06,0.0100699235,-128,EfficientNetV2/stage3.mbconv2.se.pool/Mean,2.5678304924999997,0.28903533290085553
40,CONV_2D,282,16.0,0.001639186,0.0002851449,0.005107772,3.2034789e-06,0.007864293,-128,EfficientNetV2/stage3.mbconv2.se.sq.act/Relu6;EfficientNetV2/stage3.mbconv2.se.sq.conv/BiasAdd;EfficientNetV2/stage4.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage3.mbconv2.se.sq.conv/Conv2D;EfficientNetV2/stage3.mbconv2.se.sq.conv/BiasAdd/ReadVariableOp,2.005394715,0.22758898987759432
41,CONV_2D,286,64.0,0.0011790524,1.1495949e-05,0.0024066526,1.4255919e-06,0.003921569,-128,EfficientNetV2/stage3.mbconv2.se.ex.act/Add;EfficientNetV2/stage3.mbconv2.se.ex.act/Mul;EfficientNetV2/stage3.mbconv2.se.ex.conv/BiasAdd/ReadVariableOp;EfficientNetV2/stage3.mbconv2.se.ex.conv/BiasAdd;EfficientNetV2/stage1.mbconv1.se.ex.act/Const;EfficientNetV2/stage1.mbconv1.se.ex.act/Const_1;EfficientNetV2/stage4.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage3.mbconv2.se.ex.conv/Conv2D,1.0000000949999999,0.30446526186852746
42,MINIMUM,290,64.0,0.0,0.0,0.0,0.0,0.003921569,-128,EfficientNetV2/stage3.mbconv2.se.ex.act/clip_by_value/Minimum,1.0000000949999999,0.0
43,RELU,294,64.0,0.0,0.0,0.0,0.0,0.003921569,-128,EfficientNetV2/stage3.mbconv2.se.ex.act/clip_by_value,1.0000000949999999,0.0
44,MUL,298,1600.0,0.0040365183,6.247765e-05,0.009898699,1.6320459e-05,0.019693634,-128,EfficientNetV2/multiply_4/mul,5.02187667,0.20513526272808114
45,CONV_2D,302,1600.0,0.020783775,0.0007340042,0.050697178,0.000432909,0.06899324,-1,EfficientNetV2/stage3.mbconv2.red.bn/FusedBatchNormV3;EfficientNetV2/stage4.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage3.mbconv2.red.conv/Conv2D,17.5932762,0.30157252132717355
46,ADD,306,1600.0,0.019888224,-8.7847904e-05,0.03369481,0.00039584716,0.06899324,-1,EfficientNetV2/stage3.mbconv2.res/add,17.5932762,0.2883747468885862
47,DEPTHWISE_CONV_2D,310,1600.0,0.005137761,8.110864e-05,0.020361096,2.6444635e-05,0.023529412,-128,EfficientNetV2/stage4.mbconv1.dp.act/Relu6;EfficientNetV2/stage4.mbconv1.dp.bn/FusedBatchNormV3;EfficientNetV2/stage4.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage4.mbconv1.dp/depthwise,6.00000006,0.21855347403653316
48,MAX_POOL_2D,314,832.0,0.0,0.0,0.0,0.0,0.023529412,-128,EfficientNetV2/max_pooling2d_3/MaxPool,6.00000006,0.0
49,MEAN,318,64.0,0.0030840326,-0.00329234,0.008522399,2.054041e-05,0.010778223,-128,EfficientNetV2/stage4.mbconv1.se.pool/Mean,2.748446865,0.4204916626833348
50,CONV_2D,322,16.0,0.0038645386,0.00025489225,0.010777884,1.6556764e-05,0.010321142,-128,EfficientNetV2/stage4.mbconv1.se.sq.act/Relu6;EfficientNetV2/stage4.mbconv1.se.sq.conv/BiasAdd;EfficientNetV2/stage4.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage4.mbconv1.se.sq.conv/BiasAdd/ReadVariableOp,2.63189121,0.39423935535824683
51,CONV_2D,326,64.0,0.0018055122,-5.0174953e-05,0.0066955155,8.00349e-06,0.0044629974,-97,EfficientNetV2/stage4.mbconv1.se.ex.act/Add;EfficientNetV2/stage4.mbconv1.se.ex.act/Mul;EfficientNetV2/stage4.mbconv1.se.ex.conv/BiasAdd/ReadVariableOp;EfficientNetV2/stage4.mbconv1.se.ex.conv/BiasAdd;EfficientNetV2/stage1.mbconv1.se.ex.act/Const;EfficientNetV2/stage1.mbconv1.se.ex.act/Const_1;EfficientNetV2/stage4.mbconv1.se.ex.conv/Conv2D,1.138064337,0.6338887869711208
52,MINIMUM,330,64.0,0.0,0.0,0.0,0.0,0.0044629974,-97,EfficientNetV2/stage4.mbconv1.se.ex.act/clip_by_value/Minimum,1.138064337,0.0
53,RELU,334,64.0,0.0011214628,-1.3527665e-07,0.0019389343,1.2815474e-06,0.003921569,-128,EfficientNetV2/stage4.mbconv1.se.ex.act/clip_by_value,1.0000000949999999,0.28867387109297665
54,MUL,338,832.0,0.003743296,6.1033617e-05,0.007812824,1.4043334e-05,0.015574365,-128,EfficientNetV2/multiply_5/mul,3.971463075,0.2406161446722322
55,CONV_2D,342,1040.0,0.016235966,0.00044042425,0.04680805,0.0002642972,0.050365463,-5,EfficientNetV2/stage4.mbconv1.red.bn/FusedBatchNormV3;EfficientNetV2/stage4.mbconv1.red.conv/Conv2D,12.843193065,0.32278507862699196
56,MEAN,346,80.0,0.00815958,-0.00010742509,0.015914759,6.801554e-05,0.021537371,-19,EfficientNetV2/top.pool/Mean,5.492029605,0.3829229411663906
57,FULLY_CONNECTED,350,2.0,0.005328291,7.333418e-05,0.010582021,8.4351595e-05,0.030470014,15,StatefulPartitionedCall:0,7.76985357,0.30142133968966583
